BECvar_site,BECvar_seed,HTp_pred
BGxh1,ESSFdk2,0.5745
BGxh1,ESSFdkp,0.4856
BGxh1,ESSFdkw,0.5221
BGxh1,ESSFdv1,0.6262
BGxh1,ESSFdv2,0.5935
BGxh1,ESSFdvp,0.5209
BGxh1,ESSFdvw,0.5598
BGxh1,ESSFmc,0.5752
BGxh1,ESSFmcp,0.4732
BGxh1,ESSFmh,0.6709
BGxh1,ESSFmk,0.5678
BGxh1,ESSFmkp,0.4961
BGxh1,ESSFmm1,0.5385
BGxh1,ESSFmm2,0.5384
BGxh1,ESSFmmp,0.4837
BGxh1,ESSFmmw,0.5395
BGxh1,ESSFmv1,0.6605
BGxh1,ESSFmv2,0.5627
BGxh1,ESSFmv3,0.5687
BGxh1,ESSFmv4,0.5729
BGxh1,ESSFmvp,0.5051
BGxh1,ESSFmw,0.5969
BGxh1,ESSFmw1,0.6154
BGxh1,ESSFmw2,0.6349
BGxh1,ESSFmwp,0.5282
BGxh1,ESSFmww,0.5809
BGxh1,ESSFun,0.4896
BGxh1,ESSFunp,0.4411
BGxh1,ESSFvc,0.5458
BGxh1,ESSFvcp,0.4605
BGxh1,ESSFvcw,0.4973
BGxh1,ESSFwc2,0.5579
BGxh1,ESSFwc3,0.5086
BGxh1,ESSFwc4,0.5631
BGxh1,ESSFwcp,0.4756
BGxh1,ESSFwcw,0.5108
BGxh1,ESSFwh1,0.5993
BGxh1,ESSFwh2,0.6271
BGxh1,ESSFwh3,0.5812
BGxh1,ESSFwk1,0.5934
BGxh1,ESSFwk2,0.5344
BGxh1,ESSFwm,0.5498
BGxh1,ESSFwm1,0.5961
BGxh1,ESSFwm2,0.5826
BGxh1,ESSFwm3,0.5333
BGxh1,ESSFwm4,0.6245
BGxh1,ESSFwmp,0.4840
BGxh1,ESSFwmw,0.5237
BGxh1,ESSFwv,0.5615
BGxh1,ESSFwvp,0.5007
BGxh1,ESSFxc1,0.6626
BGxh1,ESSFxc2,0.6458
BGxh1,ESSFxc3,0.6308
BGxh1,ESSFxcp,0.5733
BGxh1,ESSFxcw,0.5902
BGxh1,ESSFxv1,0.5730
BGxh1,ESSFxv2,0.5663
BGxh1,ESSFxvp,0.5068
