BECvar_site,BECvar_seed,HTp_pred
BAFAunp,SBSwk1,0.8661
BAFAunp,SBSwk2,0.8612
BAFAunp,SBSwk3,0.8313
BAFAunp,SWBmk,0.8363
BAFAunp,SWBmks,0.8929
BAFAunp,SWBun,0.7980
BAFAunp,SWBuns,0.8297
BAFAunp,SWBvk,0.8531
BAFAunp,SWBvks,0.8337
BGxh1,BAFAun,0.4339
BGxh1,BAFAunp,0.5224
BGxh1,BGxh1,1.0000
BGxh1,BGxh2,0.9852
BGxh1,BGxh3,0.9628
BGxh1,BGxw1,0.9377
BGxh1,BGxw2,0.9087
BGxh1,BWBSdk,0.6448
BGxh1,BWBSmk,0.6274
BGxh1,BWBSmw,0.7144
BGxh1,BWBSvk,0.5356
BGxh1,BWBSwk1,0.6726
BGxh1,BWBSwk2,0.6591
BGxh1,BWBSwk3,0.5857
BGxh1,CDFmm,0.8516
BGxh1,CMAun,0.3918
BGxh1,CMAunp,0.4558
BGxh1,CMAwh,0.4312
BGxh1,CWHdm,0.7142
BGxh1,CWHds1,0.7260
BGxh1,CWHds2,0.7334
BGxh1,CWHmm1,0.6480
BGxh1,CWHmm2,0.6146
BGxh1,CWHms1,0.6394
BGxh1,CWHms2,0.6304
BGxh1,CWHun,0.7241
BGxh1,CWHvh1,0.6116
BGxh1,CWHvh2,0.5473
BGxh1,CWHvh3,0.5704
BGxh1,CWHvm1,0.5947
BGxh1,CWHvm2,0.5364
BGxh1,CWHwh1,0.6396
BGxh1,CWHwh2,0.5370
BGxh1,CWHwm,0.5635
BGxh1,CWHws1,0.6666
BGxh1,CWHws2,0.6031
BGxh1,CWHxm1,0.7856
BGxh1,CWHxm2,0.6978
BGxh1,ESSFdc1,0.6417
BGxh1,ESSFdc2,0.6760
BGxh1,ESSFdc3,0.6901
BGxh1,ESSFdcp,0.5731
BGxh1,ESSFdcw,0.5957
BGxh1,ESSFdk1,0.6242
BGxh1,ESSFdk2,0.5966
BGxh1,ESSFdkp,0.5100
BGxh1,ESSFdkw,0.5457
BGxh1,ESSFdv1,0.6462
BGxh1,ESSFdv2,0.6147
BGxh1,ESSFdvp,0.5442
BGxh1,ESSFdvw,0.5822
BGxh1,ESSFmc,0.5972
BGxh1,ESSFmcp,0.4979
BGxh1,ESSFmh,0.6893
BGxh1,ESSFmk,0.5901
BGxh1,ESSFmkp,0.5203
BGxh1,ESSFmm1,0.5618
BGxh1,ESSFmm2,0.5616
BGxh1,ESSFmmp,0.5083
BGxh1,ESSFmmw,0.5626
BGxh1,ESSFmv1,0.6793
BGxh1,ESSFmv2,0.5852
BGxh1,ESSFmv3,0.5909
BGxh1,ESSFmv4,0.5950
BGxh1,ESSFmvp,0.5291
BGxh1,ESSFmw,0.6181
