BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAunp,ICHwk1,0.9682
BAFAunp,ICHwk2,0.9511
BAFAunp,ICHwk3,0.9629
BAFAunp,ICHwk4,0.9665
BAFAunp,ICHxw,0.8486
BAFAunp,IDFdc,0.9297
BAFAunp,IDFdk1,0.8979
BAFAunp,IDFdk2,0.9170
BAFAunp,IDFdk3,0.8987
BAFAunp,IDFdk4,0.8979
BAFAunp,IDFdk5,0.8916
BAFAunp,IDFdm1,0.8758
BAFAunp,IDFdm2,0.8690
BAFAunp,IDFdw,0.9304
BAFAunp,IDFmw1,0.8737
BAFAunp,IDFmw2,0.8756
BAFAunp,IDFww,0.9189
BAFAunp,IDFww1,0.8563
BAFAunp,IDFxc,0.8379
BAFAunp,IDFxh1,0.8249
BAFAunp,IDFxh2,0.8385
BAFAunp,IDFxh4,0.8055
BAFAunp,IDFxk,0.8267
BAFAunp,IDFxm,0.8627
BAFAunp,IDFxw,0.8349
BAFAunp,IMAun,0.9662
BAFAunp,IMAunp,0.9935
BAFAunp,MHmm1,0.9619
BAFAunp,MHmm2,0.9910
BAFAunp,MHmmp,0.9752
BAFAunp,MHun,0.9436
BAFAunp,MHunp,0.9317
BAFAunp,MHwh,0.9366
BAFAunp,MHwh1,0.9358
BAFAunp,MHwhp,0.9392
BAFAunp,MSdc1,0.9680
BAFAunp,MSdc2,0.9790
BAFAunp,MSdc3,0.9799
BAFAunp,MSdk1,0.9490
BAFAunp,MSdk2,0.9466
BAFAunp,MSdm1,0.9488
BAFAunp,MSdm2,0.9554
BAFAunp,MSdm3,0.9394
BAFAunp,MSdv,0.9805
BAFAunp,MSmw1,0.9678
BAFAunp,MSmw2,0.9589
BAFAunp,MSun,0.9960
BAFAunp,MSxk1,0.9503
BAFAunp,MSxk2,0.9219
BAFAunp,MSxk3,0.9502
BAFAunp,MSxv,0.9634
BAFAunp,PPdh2,0.8162
BAFAunp,PPxh1,0.7006
BAFAunp,PPxh2,0.7407
BAFAunp,PPxh3,0.7964
BAFAunp,SBPSdc,0.9182
BAFAunp,SBPSmc,0.9354
BAFAunp,SBPSmk,0.9305
BAFAunp,SBPSxc,0.9259
BAFAunp,SBSdh1,0.9341
BAFAunp,SBSdh2,0.9652
BAFAunp,SBSdk,0.9168
BAFAunp,SBSdw1,0.9234
BAFAunp,SBSdw2,0.9210
BAFAunp,SBSdw3,0.9238
BAFAunp,SBSmc1,0.9623
BAFAunp,SBSmc2,0.9472
BAFAunp,SBSmc3,0.9404
BAFAunp,SBSmh,0.8955
BAFAunp,SBSmk1,0.9474
BAFAunp,SBSmk2,0.9073
BAFAunp,SBSmm,0.9583
BAFAunp,SBSmw,0.9340
BAFAunp,SBSun,0.9527
BAFAunp,SBSvk,0.9668
BAFAunp,SBSwk1,0.9619
BAFAunp,SBSwk2,0.9509
BAFAunp,SBSwk3,0.9411
BAFAunp,SWBmk,0.9229
BAFAunp,SWBmks,0.9394
BAFAunp,SWBun,0.9023
BAFAunp,SWBuns,0.9111
BAFAunp,SWBvk,0.9365
BAFAunp,SWBvks,0.9162
BGxh1,BAFAun,0.3764
BGxh1,BAFAunp,0.4559
BGxh1,BGxh1,0.9795
BGxh1,BGxh2,0.9371
BGxh1,BGxh3,0.9063
BGxh1,BGxw1,0.8661
BGxh1,BGxw2,0.8397
BGxh1,BWBSdk,0.5682
BGxh1,BWBSmk,0.5610
BGxh1,BWBSmw,0.6448
BGxh1,BWBSvk,0.4837
BGxh1,BWBSwk1,0.6038
BGxh1,BWBSwk2,0.5924
BGxh1,BWBSwk3,0.5230
BGxh1,CDFmm,0.8520
BGxh1,CMAun,0.3421
BGxh1,CMAunp,0.4025
BGxh1,CMAwh,0.3921
BGxh1,CWHdm,0.6937
BGxh1,CWHds1,0.6806
BGxh1,CWHds2,0.6711
BGxh1,CWHmm1,0.6097
BGxh1,CWHmm2,0.5673
BGxh1,CWHms1,0.5823
BGxh1,CWHms2,0.5888
BGxh1,CWHun,0.6411
BGxh1,CWHvh1,0.5986
BGxh1,CWHvh2,0.5178
BGxh1,CWHvh3,0.5413
BGxh1,CWHvm1,0.5638
BGxh1,CWHvm2,0.4948
BGxh1,CWHwh1,0.6116
BGxh1,CWHwh2,0.4996
BGxh1,CWHwm,0.5107
BGxh1,CWHws1,0.6128
BGxh1,CWHws2,0.5439
BGxh1,CWHxm1,0.7685
BGxh1,CWHxm2,0.6644
BGxh1,ESSFdc1,0.5699
BGxh1,ESSFdc2,0.5995
BGxh1,ESSFdc3,0.6148
BGxh1,ESSFdcp,0.5023
BGxh1,ESSFdcw,0.5247
BGxh1,ESSFdk1,0.5534
BGxh1,ESSFdk2,0.5270
BGxh1,ESSFdkp,0.4465
BGxh1,ESSFdkw,0.4797
BGxh1,ESSFdv1,0.5681
BGxh1,ESSFdv2,0.5395
BGxh1,ESSFdvp,0.4726
BGxh1,ESSFdvw,0.5082
BGxh1,ESSFmc,0.5249
BGxh1,ESSFmcp,0.4339
BGxh1,ESSFmh,0.6179
BGxh1,ESSFmk,0.5209
BGxh1,ESSFmkp,0.4561
BGxh1,ESSFmm1,0.4969
BGxh1,ESSFmm2,0.4952
BGxh1,ESSFmmp,0.4468
BGxh1,ESSFmmw,0.4957
BGxh1,ESSFmv1,0.6017
BGxh1,ESSFmv2,0.5191
BGxh1,ESSFmv3,0.5180
BGxh1,ESSFmv4,0.5245
BGxh1,ESSFmvp,0.4618
BGxh1,ESSFmw,0.5473
BGxh1,ESSFmw1,0.5651
BGxh1,ESSFmw2,0.5791
BGxh1,ESSFmwp,0.4814
BGxh1,ESSFmww,0.5305
BGxh1,ESSFun,0.4523
BGxh1,ESSFunp,0.4077
BGxh1,ESSFvc,0.5047
BGxh1,ESSFvcp,0.4243
BGxh1,ESSFvcw,0.4587
BGxh1,ESSFwc2,0.5141
BGxh1,ESSFwc3,0.4688
BGxh1,ESSFwc4,0.5191
BGxh1,ESSFwcp,0.4381
BGxh1,ESSFwcw,0.4701
BGxh1,ESSFwh1,0.5541
BGxh1,ESSFwh2,0.5772
BGxh1,ESSFwh3,0.5394
BGxh1,ESSFwk1,0.5491
BGxh1,ESSFwk2,0.4928
BGxh1,ESSFwm,0.5027
BGxh1,ESSFwm1,0.5487
BGxh1,ESSFwm2,0.5342
BGxh1,ESSFwm3,0.4930
BGxh1,ESSFwm4,0.5735
BGxh1,ESSFwmp,0.4432
BGxh1,ESSFwmw,0.4801
BGxh1,ESSFwv,0.5168
BGxh1,ESSFwvp,0.4608
BGxh1,ESSFxc1,0.6016
BGxh1,ESSFxc2,0.5897
BGxh1,ESSFxc3,0.5715
BGxh1,ESSFxcp,0.5195
BGxh1,ESSFxcw,0.5355
BGxh1,ESSFxv1,0.5211
BGxh1,ESSFxv2,0.5128
BGxh1,ESSFxvp,0.4614
BGxh1,ESSFxvw,0.5111
BGxh1,ICHdk,0.6980
BGxh1,ICHdm,0.6620
BGxh1,ICHdw1,0.7402
BGxh1,ICHdw3,0.7052
BGxh1,ICHdw4,0.7726
BGxh1,ICHmc1,0.6081
BGxh1,ICHmc2,0.6752
BGxh1,ICHmk1,0.6994
BGxh1,ICHmk2,0.6942
BGxh1,ICHmk3,0.6733
BGxh1,ICHmk4,0.6354
BGxh1,ICHmm,0.6021
BGxh1,ICHmw1,0.6248
BGxh1,ICHmw2,0.6675
BGxh1,ICHmw3,0.6673
BGxh1,ICHmw4,0.6057
BGxh1,ICHmw5,0.6753
BGxh1,ICHvc,0.5774
BGxh1,ICHvk1,0.5682
BGxh1,ICHvk2,0.5597
BGxh1,ICHwc,0.5447
BGxh1,ICHwk1,0.6017
BGxh1,ICHwk2,0.6529
BGxh1,ICHwk3,0.6033
BGxh1,ICHwk4,0.6042
BGxh1,ICHxw,0.8144
BGxh1,IDFdc,0.7090
BGxh1,IDFdk1,0.7469
BGxh1,IDFdk2,0.7344
BGxh1,IDFdk3,0.7424
BGxh1,IDFdk4,0.7240
BGxh1,IDFdk5,0.7460
BGxh1,IDFdm1,0.7905
BGxh1,IDFdm2,0.7885
BGxh1,IDFdw,0.6908
BGxh1,IDFmw1,0.7972
BGxh1,IDFmw2,0.7900
BGxh1,IDFww,0.7192
BGxh1,IDFww1,0.8056
BGxh1,IDFxc,0.8224
BGxh1,IDFxh1,0.8495
BGxh1,IDFxh2,0.8200
BGxh1,IDFxh4,0.8633
BGxh1,IDFxk,0.8188
BGxh1,IDFxm,0.7822
BGxh1,IDFxw,0.8181
