BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh2,ESSFmvp,0.2518
BGxh2,ESSFmw,0.3545
BGxh2,ESSFmw1,0.3766
BGxh2,ESSFmw2,0.3989
BGxh2,ESSFmwp,0.2686
BGxh2,ESSFmww,0.3301
BGxh2,ESSFun,0.2424
BGxh2,ESSFunp,0.1928
BGxh2,ESSFvc,0.3009
BGxh2,ESSFvcp,0.2069
BGxh2,ESSFvcw,0.2452
BGxh2,ESSFwc2,0.3135
BGxh2,ESSFwc3,0.2594
BGxh2,ESSFwc4,0.3173
BGxh2,ESSFwcp,0.2225
BGxh2,ESSFwcw,0.2579
BGxh2,ESSFwh1,0.3637
BGxh2,ESSFwh2,0.3975
BGxh2,ESSFwh3,0.3406
BGxh2,ESSFwk1,0.3586
BGxh2,ESSFwk2,0.2902
BGxh2,ESSFwm,0.3007
BGxh2,ESSFwm1,0.3564
BGxh2,ESSFwm2,0.3381
BGxh2,ESSFwm3,0.2823
BGxh2,ESSFwm4,0.3912
BGxh2,ESSFwmp,0.2269
BGxh2,ESSFwmw,0.2694
BGxh2,ESSFwv,0.3191
BGxh2,ESSFwvp,0.2490
BGxh2,ESSFxc1,0.4302
BGxh2,ESSFxc2,0.4147
BGxh2,ESSFxc3,0.3903
BGxh2,ESSFxcp,0.3164
BGxh2,ESSFxcw,0.3378
BGxh2,ESSFxv1,0.3220
BGxh2,ESSFxv2,0.3114
BGxh2,ESSFxvp,0.2463
BGxh2,ESSFxvw,0.3083
BGxh2,ICHdk,0.5860
BGxh2,ICHdm,0.5259
BGxh2,ICHdw1,0.6412
BGxh2,ICHdw3,0.5974
BGxh2,ICHdw4,0.7018
BGxh2,ICHmc1,0.4464
BGxh2,ICHmc2,0.5517
BGxh2,ICHmk1,0.5854
BGxh2,ICHmk2,0.5824
BGxh2,ICHmk3,0.5452
BGxh2,ICHmk4,0.4879
BGxh2,ICHmm,0.4399
BGxh2,ICHmw1,0.4787
BGxh2,ICHmw2,0.5287
BGxh2,ICHmw3,0.5334
BGxh2,ICHmw4,0.4315
BGxh2,ICHmw5,0.5447
BGxh2,ICHvc,0.4031
BGxh2,ICHvk1,0.3861
BGxh2,ICHvk2,0.3749
BGxh2,ICHwc,0.3594
BGxh2,ICHwk1,0.4348
BGxh2,ICHwk2,0.5103
BGxh2,ICHwk3,0.4362
BGxh2,ICHwk4,0.4372
BGxh2,ICHxw,0.7615
BGxh2,IDFdc,0.6095
BGxh2,IDFdk1,0.6734
BGxh2,IDFdk2,0.6505
BGxh2,IDFdk3,0.6656
BGxh2,IDFdk4,0.6388
BGxh2,IDFdk5,0.6769
BGxh2,IDFdm1,0.7426
BGxh2,IDFdm2,0.7414
BGxh2,IDFdw,0.5838
BGxh2,IDFmw1,0.7488
BGxh2,IDFmw2,0.7445
