BECvarfut_plantation,BECvar_seed,HTp_pred
BGxh2,ICHmk2,0.5958
BGxh2,ICHmk3,0.5593
BGxh2,ICHmk4,0.5028
BGxh2,ICHmm,0.4553
BGxh2,ICHmw1,0.4938
BGxh2,ICHmw2,0.5430
BGxh2,ICHmw3,0.5476
BGxh2,ICHmw4,0.4470
BGxh2,ICHmw5,0.5588
BGxh2,ICHvc,0.4188
BGxh2,ICHvk1,0.4018
BGxh2,ICHvk2,0.3907
BGxh2,ICHwc,0.3751
BGxh2,ICHwk1,0.4503
BGxh2,ICHwk2,0.5249
BGxh2,ICHwk3,0.4516
BGxh2,ICHwk4,0.4526
BGxh2,ICHxw,0.7702
BGxh2,IDFdc,0.6223
BGxh2,IDFdk1,0.6847
BGxh2,IDFdk2,0.6624
BGxh2,IDFdk3,0.6771
BGxh2,IDFdk4,0.6509
BGxh2,IDFdk5,0.6881
BGxh2,IDFdm1,0.7520
BGxh2,IDFdm2,0.7507
BGxh2,IDFdw,0.5972
BGxh2,IDFmw1,0.7580
BGxh2,IDFmw2,0.7538
