BECvarfut_plantation,BECvar_seed,HTp_pred
BAFAunp,MSdm3,0.9548
BAFAunp,MSdv,0.9855
BAFAunp,MSmw1,0.9761
BAFAunp,MSmw2,0.9694
BAFAunp,MSun,0.9971
BAFAunp,MSxk1,0.9629
BAFAunp,MSxk2,0.9415
BAFAunp,MSxk3,0.9629
BAFAunp,MSxv,0.9727
BAFAunp,PPdh2,0.8605
BAFAunp,PPxh1,0.7687
BAFAunp,PPxh2,0.8008
BAFAunp,PPxh3,0.8451
BAFAunp,SBPSdc,0.9388
BAFAunp,SBPSmc,0.9517
BAFAunp,SBPSmk,0.9481
BAFAunp,SBPSxc,0.9446
BAFAunp,SBSdh1,0.9508
BAFAunp,SBSdh2,0.9742
BAFAunp,SBSdk,0.9377
BAFAunp,SBSdw1,0.9428
BAFAunp,SBSdw2,0.9410
BAFAunp,SBSdw3,0.9431
BAFAunp,SBSmc1,0.9720
BAFAunp,SBSmc2,0.9607
BAFAunp,SBSmc3,0.9556
BAFAunp,SBSmh,0.9217
BAFAunp,SBSmk1,0.9608
BAFAunp,SBSmk2,0.9306
BAFAunp,SBSmm,0.9690
BAFAunp,SBSmw,0.9508
BAFAunp,SBSun,0.9648
BAFAunp,SBSvk,0.9754
BAFAunp,SBSwk1,0.9717
BAFAunp,SBSwk2,0.9635
BAFAunp,SBSwk3,0.9561
BAFAunp,SWBmk,0.9424
BAFAunp,SWBmks,0.9548
BAFAunp,SWBun,0.9268
BAFAunp,SWBuns,0.9335
BAFAunp,SWBvk,0.9525
BAFAunp,SWBvks,0.9372
BGxh1,BAFAun,0.3373
BGxh1,BAFAunp,0.4174
BGxh1,BGxh1,0.9773
BGxh1,BGxh2,0.9305
BGxh1,BGxh3,0.8965
BGxh1,BGxw1,0.8525
BGxh1,BGxw2,0.8236
BGxh1,BWBSdk,0.5335
BGxh1,BWBSmk,0.5259
BGxh1,BWBSmw,0.6139
BGxh1,BWBSvk,0.4453
BGxh1,BWBSwk1,0.5705
BGxh1,BWBSwk2,0.5586
BGxh1,BWBSwk3,0.4862
BGxh1,CDFmm,0.0000
BGxh1,CMAun,0.3031
BGxh1,CMAunp,0.3632
BGxh1,CMAwh,0.0000
BGxh1,CWHdm,0.0000
BGxh1,CWHds1,0.6514
BGxh1,CWHds2,0.6416
BGxh1,CWHmm1,0.0000
