BECvar_site,BECvar_seed,HTp_pred
BAFAunp,MHwh1,0.9139
BAFAunp,MHwhp,0.9230
BAFAunp,MSdc1,0.9480
BAFAunp,MSdc2,0.9701
BAFAunp,MSdc3,0.9656
BAFAunp,MSdk1,0.9248
BAFAunp,MSdk2,0.9292
BAFAunp,MSdm1,0.9236
BAFAunp,MSdm2,0.9320
BAFAunp,MSdm3,0.9154
BAFAunp,MSdv,0.9718
BAFAunp,MSmw1,0.9412
BAFAunp,MSmw2,0.9320
BAFAunp,MSun,0.9846
BAFAunp,MSxk1,0.9302
BAFAunp,MSxk2,0.9035
BAFAunp,MSxk3,0.9379
BAFAunp,MSxv,0.9565
BAFAunp,PPdh2,0.7743
BAFAunp,PPxh1,0.6508
BAFAunp,PPxh2,0.6955
BAFAunp,PPxh3,0.7479
BAFAunp,SBPSdc,0.9004
BAFAunp,SBPSmc,0.9197
BAFAunp,SBPSmk,0.9112
BAFAunp,SBPSxc,0.9101
BAFAunp,SBSdh1,0.9083
BAFAunp,SBSdh2,0.9573
BAFAunp,SBSdk,0.8967
BAFAunp,SBSdw1,0.8961
BAFAunp,SBSdw2,0.8968
BAFAunp,SBSdw3,0.9031
BAFAunp,SBSmc1,0.9447
BAFAunp,SBSmc2,0.9331
BAFAunp,SBSmc3,0.9265
BAFAunp,SBSmh,0.8617
BAFAunp,SBSmk1,0.9334
BAFAunp,SBSmk2,0.8945
BAFAunp,SBSmm,0.9400
BAFAunp,SBSmw,0.9094
BAFAunp,SBSun,0.9440
BAFAunp,SBSvk,0.9511
BAFAunp,SBSwk1,0.9437
BAFAunp,SBSwk2,0.9416
BAFAunp,SBSwk3,0.9283
BAFAunp,SWBmk,0.9306
BAFAunp,SWBmks,0.9554
BAFAunp,SWBun,0.9132
BAFAunp,SWBuns,0.9276
BAFAunp,SWBvk,0.9380
BAFAunp,SWBvks,0.9294
BGxh1,BAFAun,0.3336
BGxh1,BAFAunp,0.4259
BGxh1,BGxh1,1.0000
BGxh1,BGxh2,0.9806
BGxh1,BGxh3,0.9514
BGxh1,BGxw1,0.9189
BGxh1,BGxw2,0.8816
BGxh1,BWBSdk,0.5615
BGxh1,BWBSmk,0.5417
BGxh1,BWBSmw,0.6426
BGxh1,BWBSvk,0.4402
BGxh1,BWBSwk1,0.5937
BGxh1,BWBSwk2,0.5781
BGxh1,BWBSwk3,0.4949
BGxh1,CDFmm,0.8099
BGxh1,CMAun,0.2919
BGxh1,CMAunp,0.3561
BGxh1,CMAwh,0.3312
BGxh1,CWHdm,0.6429
BGxh1,CWHds1,0.6568
BGxh1,CWHds2,0.6654
BGxh1,CWHmm1,0.5657
BGxh1,CWHmm2,0.5276
BGxh1,CWHms1,0.5557
BGxh1,CWHms2,0.5456
BGxh1,CWHun,0.6541
BGxh1,CWHvh1,0.5245
BGxh1,CWHvh2,0.4532
BGxh1,CWHvh3,0.4784
BGxh1,CWHvm1,0.5054
BGxh1,CWHvm2,0.4413
BGxh1,CWHwh1,0.5561
BGxh1,CWHwh2,0.4419
BGxh1,CWHwm,0.4707
BGxh1,CWHws1,0.5870
BGxh1,CWHws2,0.5145
BGxh1,CWHxm1,0.7286
BGxh1,CWHxm2,0.6235
BGxh1,ESSFdc1,0.5581
BGxh1,ESSFdc2,0.5976
BGxh1,ESSFdc3,0.6141
