"Unit","SImin","SImean","SImax","MeanPlotSiteIndex","Spp"
"ICHvk2/01",15.4530096650369,16.4417522434302,17.600234526784,16.5885712759835,"Cw"
"ICHvk2/02",12.1152271557647,12.2162267213075,12.3172262868502,12,"Cw"
"ICHvk2/03",12.1152271557647,13.3241513912897,14.4577006900341,12,"Cw"
"ICHvk2/04",14.4577006900341,15.4042664777894,16.9377149227129,12,"Cw"
"ICHvk2/05",13.9772537332233,15.854832291498,17.600234526784,18,"Cw"
"ICHwc/01",12.9884352395284,13.7929587444683,14.5974822494082,NA,"Cw"
"ICHwc/02",9.87762516213954,10.0227885768874,10.3991312276911,NA,"Cw"
"ICHwc/03",10.3991312276911,11.7843657148718,12.718457761977,NA,"Cw"
"ICHwc/04",14.4226225146431,14.9227071000134,15.9010799810498,NA,"Cw"
"ICHwc/05",14.4226225146431,15.3511062079411,15.9010799810498,NA,"Cw"
"ICHwc/07",9.22403828344797,12.3683132181747,14.0159568435801,NA,"Cw"
"ICHwc/08",10.7214701057308,13.3248589553078,15.3151817358605,NA,"Cw"
"ICHwk1/01",16.5167135890916,17.7045474256125,19.7606674098317,19.0022999763489,"Cw"
"ICHwk1/01",16.5167135890916,17.7045474256125,19.7606674098317,19.0022999763489,"Cw"
"ICHwk1/01",16.5167135890916,17.7045474256125,19.7606674098317,19.0022999763489,"Cw"
"ICHwk1/02",12.8274912569355,13.5730437198501,14.3700973346586,15,"Cw"
"ICHwk1/03",12.8274912569355,14.7055752245676,17.0434944354185,15,"Cw"
"ICHwk1/03",12.8274912569355,14.7055752245676,17.0434944354185,15,"Cw"
"ICHwk1/04",14.1344316817255,16.1642520346899,18.9568922543519,18,"Cw"
"ICHwk1/04",14.1344316817255,16.1642520346899,18.9568922543519,18,"Cw"
"ICHwk1/04",14.1344316817255,16.1642520346899,18.9568922543519,18,"Cw"
"ICHwk1/05",16.7635860997482,18.9996806043155,20.6497980116272,21,"Cw"
"ICHwk1/05",16.7635860997482,18.9996806043155,20.6497980116272,21,"Cw"
"ICHwk1/05",16.7635860997482,18.9996806043155,20.6497980116272,21,"Cw"
"ICHwk1/06",16.7635860997482,18.9996806043155,20.6497980116272,15,"Cw"
