MergedBGC,Source,SS_NoSpace,SSprob,SSCurrent,FuturePeriod,SiteNo
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,58
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,58
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,59
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,59
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,60
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc1/01,2055,61
CWHds1,BECv10,CWHds1/01,0.000900901,ICHmc1/02,2055,61
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,61
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,61
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,62
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,62
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,63
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc1/01,2055,64
CWHds1,BECv10,CWHds1/01,0.000900901,ICHmc1/02,2055,64
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,64
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,64
CWHds1,BECv10,CWHds1/01,0.031372549,ICHmc1/01,2055,65
CWHds1,BECv10,CWHds1/01,0.000900901,ICHmc1/02,2055,65
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,65
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,65
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,66
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,67
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,67
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,68
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,68
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc2/01,2085,69
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,70
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,70
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2055,71
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2055,71
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,71
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,71
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,72
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,72
CWHds1,BECv10,CWHds1/01,0.094117647,ICHmc1/01,2085,73
CWHds1,BECv10,CWHds1/01,0.002702703,ICHmc1/02,2085,73
CWHds1,BECv10,CWHds1/01,0.08,MHmm2/01,2085,74
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFwv/01,2085,75
CWHds1,BECv10,CWHds1/01,0.006666667,ESSFwv/03,2085,75
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFwv/04,2085,75
CWHds1,BECv10,CWHds1/01,0.106666667,MHmm2/01,2085,76
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFwv/01,2085,77
CWHds1,BECv10,CWHds1/01,0.006666667,ESSFwv/03,2085,77
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFwv/04,2085,77
CWHds1,BECv10,CWHds1/01,0.08,ESSFwv/01,2085,78
CWHds1,BECv10,CWHds1/01,0.02,ESSFwv/03,2085,78
CWHds1,BECv10,CWHds1/01,0.1,ESSFwv/04,2085,78
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,79
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,79
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFwv/01,2085,80
CWHds1,BECv10,CWHds1/01,0.013333333,ESSFwv/03,2085,80
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFwv/04,2085,80
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,81
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,81
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,82
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,82
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,83
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,83
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,85
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,85
CWHds1,BECv10,CWHds1/01,0.055172414,SBSmc2/03,2085,86
CWHds1,BECv10,CWHds1/01,0.05015674,SBSmc2/01,2085,86
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFwv/01,2085,87
CWHds1,BECv10,CWHds1/01,0.013333333,ESSFwv/03,2085,87
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFwv/04,2085,87
CWHds1,BECv10,CWHds1/01,0.053333333,SBSmc2/03,2085,88
CWHds1,BECv10,CWHds1/01,0.048484848,SBSmc2/01,2085,88
CWHds1,BECv10,CWHds1/01,0.055172414,SBSmc2/03,2085,89
CWHds1,BECv10,CWHds1/01,0.05015674,SBSmc2/01,2085,89
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,90
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,90
CWHds1,BECv10,CWHds1/01,0.133333333,CWHws2/01,2085,91
CWHds1,BECv10,CWHds1/01,0.026666667,SBSmc2/03,2085,92
CWHds1,BECv10,CWHds1/01,0.024242424,SBSmc2/01,2085,92
CWHds1,BECv10,CWHds1/01,0.026986507,SBSdk/01,2085,95
CWHds1,BECv10,CWHds1/01,0.009852217,SBSdk/04,2085,95
CWHds1,BECv10,CWHds1/01,0.034482759,SBSdk/05,2085,95
CWHds1,BECv10,CWHds1/01,0.133333333,CWHws2/01,2085,96
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,97
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,97
CWHds1,BECv10,CWHds1/01,0.133333333,CWHws2/01,2085,98
CWHds1,BECv10,CWHds1/01,0.026666667,ESSFmc/01,2085,99
CWHds1,BECv10,CWHds1/01,0.033333333,ESSFmc/04,2085,99
CWHds1,BECv10,CWHds1/01,0.053333333,ESSFmc/01,2085,102
CWHds1,BECv10,CWHds1/01,0.066666667,ESSFmc/04,2085,102
CWHds1,BECv10,CWHds1/01,0.027586207,SBSmc2/03,2085,103
CWHds1,BECv10,CWHds1/01,0.02507837,SBSmc2/01,2085,103
CWHds1,BECv10,CWHds1/01,0.08,SBSmc2/03,2085,104
CWHds1,BECv10,CWHds1/01,0.072727273,SBSmc2/01,2085,104
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,2
CWHds1,BECv10,CWHds1/02,0.022988506,ESSFmc/02,2085,7
CWHds1,BECv10,CWHds1/02,0.022988506,ESSFmc/02,2085,9
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,13
CWHds1,BECv10,CWHds1/02,0.045977011,ESSFmc/02,2085,15
CWHds1,BECv10,CWHds1/02,0.066666667,ESSFmc/02,2085,24
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,26
CWHds1,BECv10,CWHds1/02,0.022988506,ESSFmc/02,2085,35
CWHds1,BECv10,CWHds1/02,0.022988506,ESSFmc/02,2085,38
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,39
CWHds1,BECv10,CWHds1/02,0.035294118,ESSFwv/02,2085,41
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,42
CWHds1,BECv10,CWHds1/02,0.022988506,ESSFmc/02,2085,43
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,44
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,50
CWHds1,BECv10,CWHds1/02,0.045977011,ESSFmc/02,2085,58
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,67
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,68
CWHds1,BECv10,CWHds1/02,0.068965517,MHmm2/02,2085,74
CWHds1,BECv10,CWHds1/02,0.017647059,ESSFwv/02,2085,75
CWHds1,BECv10,CWHds1/02,0.091954023,MHmm2/02,2085,76
CWHds1,BECv10,CWHds1/02,0.018255578,ESSFwv/02,2085,77
CWHds1,BECv10,CWHds1/02,0.056722689,ESSFwv/02,2085,78
CWHds1,BECv10,CWHds1/02,0.044444444,ESSFmc/02,2085,79
CWHds1,BECv10,CWHds1/02,0.035294118,ESSFwv/02,2085,80
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,82
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,85
CWHds1,BECv10,CWHds1/02,0.037815126,ESSFwv/02,2085,87
CWHds1,BECv10,CWHds1/02,0.25,CWHws2/02,2085,91
CWHds1,BECv10,CWHds1/02,0.235294118,CWHws2/02,2085,96
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,97
CWHds1,BECv10,CWHds1/02,0.222222222,CWHws2/02,2085,98
CWHds1,BECv10,CWHds1/02,0.022222222,ESSFmc/02,2085,99
CWHds1,BECv10,CWHds1/02,0.045977011,ESSFmc/02,2085,102
CWHds1,BECv10,CWHds1/03,0.011111111,ESSFmc/02,2085,2
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,2
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2085,3
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2085,4
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,5
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2085,6
CWHds1,BECv10,CWHds1/03,0.011494253,ESSFmc/02,2085,7
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,7
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,8
CWHds1,BECv10,CWHds1/03,0.011494253,ESSFmc/02,2085,9
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,9
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,10
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,12
CWHds1,BECv10,CWHds1/03,0.022222222,ESSFmc/02,2085,13
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,13
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,14
CWHds1,BECv10,CWHds1/03,0.022988506,ESSFmc/02,2085,15
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,15
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,16
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,16
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,17
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,17
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,18
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,19
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,20
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,21
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,22
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,23
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/02,2085,24
CWHds1,BECv10,CWHds1/03,0.1,ESSFmc/03,2085,24
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,25
CWHds1,BECv10,CWHds1/03,0.022222222,ESSFmc/02,2085,26
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,26
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,27
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,28
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,29
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,30
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,31
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,31
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,32
CWHds1,BECv10,CWHds1/03,0.064864865,ICHmc1/02,2055,33
CWHds1,BECv10,CWHds1/03,0.097297297,ICHmc1/02,2085,33
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,34
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,34
CWHds1,BECv10,CWHds1/03,0.011494253,ESSFmc/02,2085,35
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,35
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,36
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,36
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,37
CWHds1,BECv10,CWHds1/03,0.011494253,ESSFmc/02,2085,38
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,38
CWHds1,BECv10,CWHds1/03,0.011111111,ESSFmc/02,2085,39
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,39
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,40
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,40
CWHds1,BECv10,CWHds1/03,0.031372549,ESSFwv/02,2085,41
CWHds1,BECv10,CWHds1/03,0.053333333,ESSFwv/03,2085,41
CWHds1,BECv10,CWHds1/03,0.011111111,ESSFmc/02,2085,42
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,42
CWHds1,BECv10,CWHds1/03,0.011494253,ESSFmc/02,2085,43
CWHds1,BECv10,CWHds1/03,0.033333333,ESSFmc/03,2085,43
CWHds1,BECv10,CWHds1/03,0.022222222,ESSFmc/02,2085,44
CWHds1,BECv10,CWHds1/03,0.066666667,ESSFmc/03,2085,44
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,45
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,45
CWHds1,BECv10,CWHds1/03,0.028571429,SBSmc2/02,2055,46
CWHds1,BECv10,CWHds1/03,0.085714286,SBSmc2/02,2085,46
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,47
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,48
CWHds1,BECv10,CWHds1/03,0.057142857,SBSmc2/02,2085,49
CWHds1,BECv10,CWHds1/03,0.022222222,ESSFmc/02,2085,50
