"","Acb","Act","At","Ba","Bb","Bc","Bg","Bl","Bm","Bp","Cw","Dr","Ep","Fd","Gp","Hm","Hw","La","Lt","Lw","Mb","Oa","Ot","Oy","Pa","Pf","Pj","Pl","Ps","Pw","Py","Qb","Qc","Qg","Ra","Sb","Ss","Sx","Yc"
"Mb",-0.857168034614383,-0.000193669459558493,-0.84126338430899,-0.650776712674649,-0.815297554512173,-0.780455225215882,-0.427605076714871,-0.806068034992951,-0.718663872891885,-0.492925927170198,-0.010669080848803,-0.126222776458659,-0.367034035867181,-0.420556565609438,0.234333792832067,-0.87599433902127,-0.536034993833438,-0.556851552384656,-0.850006816384903,-0.849472664425621,1,-0.669976525221673,-0.442967340312419,-0.70572095923506,-0.873155652737881,-0.699870382410827,-0.878026189517571,-0.762854034717579,-0.634405803133794,-0.838052092391044,-0.846213194932228,-0.579282538300412,-0.620290138091075,-0.489414597297774,-0.651093531068648,-0.862772529353178,-0.690444770612648,-0.750227139127655,-0.842466949900544
"Oa",-0.792554859739287,-0.647347600288674,-0.500431303656362,-0.66385579020809,-0.913087737379064,-0.477375916103443,-0.718361728557102,-0.437741590873243,-0.873925669238076,-0.914047603709924,-0.443164274730083,-0.680171228808978,-0.640971503346688,-0.00363912852446755,-0.500607059455215,-0.697882489872631,-0.430809349927697,-0.812444463702388,-0.899861282077695,-0.611066847077969,-0.669976525221673,1,-0.572351471472339,-0.126762423326259,-0.706776314480596,-0.859109773810906,-0.911178959025056,-0.456172617831799,-0.442781757138612,-0.744595144425147,-0.566376000959069,-0.309965209939033,-0.393359196918683,-0.866218662700918,-0.215332462475795,-0.627736818875795,-0.72099723966407,-0.41905111020409,-0.779901125946186
"Ot",-0.628612883765479,-0.424820553910718,-0.300550880920484,-0.446923185515959,-0.892565519275672,-0.816137437799019,-0.608991293506854,-0.255218833990495,-0.901387818865997,-0.926109458453995,-0.284651938171023,-0.462475243269842,-0.418443527821263,0.025287082777177,-0.850847213361766,-0.494463598378136,-0.241105951215615,-0.844725930895924,-0.842780261940467,-0.394220243898774,-0.442967340312419,-0.572351471472339,1,-0.513606989843628,-0.499563926960117,-0.839146391678274,-0.854952746186227,-0.267653372805357,-0.135462256270851,-0.540343204938184,-0.436328592715571,-0.907631482942449,-0.474664530723277,-0.799755062568601,-0.291406985442159,-0.412722256115236,-0.512040670743804,-0.242306018682697,-0.58998303886748
"Oy",-0.800250259999716,-0.660207260893048,-0.513593997120582,-0.675978709304909,-0.915105526548499,-0.254284702915693,-0.694117874415695,-0.450325896791201,-0.803239117581033,-0.915121310445552,-0.437710961236608,-0.692171172280125,-0.653925241039141,-0.0480529719475462,-0.583748019615644,-0.707534324056563,-0.356098306448769,-0.812803386087235,-0.903019061997459,-0.623918796408936,-0.70572095923506,-0.126762423326259,-0.513606989843628,1,-0.717666462770823,-0.861027240392269,-0.914322275522488,-0.447580918383079,-0.421256952330561,-0.702665519535601,-0.591089155405687,-0.852621592805256,-0.740800670834251,-0.869665597819681,-0.480283845721103,-0.640154893046593,-0.731903550355701,-0.431396058643541,-0.789144243444654
"Pa",-0.815652409780069,-0.86547103752558,-0.780742001540216,-0.837356583225488,-0.756810273651813,-0.767963300990202,-0.861694213670161,-0.165452629548502,-0.649176984151581,-0.689030170775515,-0.780054932803882,-0.857099685396627,-0.86133582076246,-0.675433450711617,-0.488760662745303,-0.796634635704602,-0.786205392618127,0.0786171748636168,-0.799257887346803,-0.778575733813283,-0.873155652737881,-0.706776314480596,-0.499563926960117,-0.717666462770823,1,-0.429559818673551,-0.832261980107512,-0.0112723003998495,-0.563370615182564,-0.842102768885247,-0.847580774887671,-0.506510973144226,-0.547003123516498,-0.735609998390351,-0.813413308653533,-0.82583333773747,-0.855521707714403,-0.237102930476762,-0.866021693753458
"Pf",-0.736708965818466,-0.562758823662214,-0.363851756300866,-0.582851028550319,-0.898554904236214,-0.855903727966584,-0.728656750093377,-0.236209904690435,-0.885800687030021,-0.906931311646308,-0.398914499350841,-0.599487852824985,-0.556052902393609,-0.159540794255777,-0.814757502103566,-0.627654167327477,-0.425711077457497,-0.810287391340663,-0.876433263020877,-0.527509610911703,-0.699870382410827,-0.859109773810906,-0.839146391678274,-0.861027240392269,-0.429559818673551,1,-0.887927092636843,-0.166419225547129,-0.839029867843555,-0.67213815216362,-0.509366390663599,-0.855131568824353,-0.868346753170956,-0.840452541258467,-0.873837639439856,-0.546008731639711,-0.645814623029164,-0.344989151422885,-0.714112617527733
"Pj",-0.849488501743492,-0.804560095738596,-0.39824474941705,-0.808783146190933,-0.938109343178492,-0.921551688358029,-0.887322088245012,-0.618157065510226,-0.915691132485933,-0.934358851010005,-0.657444425849402,-0.822304949505109,-0.492288406129441,-0.684415663363153,-0.8352688750364,-0.831164384714681,-0.684628880596068,-0.831621395273371,-0.937052707164791,-0.771261744590134,-0.878026189517571,-0.911178959025056,-0.854952746186227,-0.914322275522488,-0.832261980107512,-0.887927092636843,1,-0.509987432108494,-0.869404103334866,-0.862045409301457,-0.785279663329463,-0.720010881741025,-0.885352640361769,-0.869070861664057,-0.938441274749257,-0.147628949855071,-0.846066747434762,-0.446496310546568,-0.882171138846753
"Pl",-0.38934916382333,-0.619700352705076,-0.287274438855391,-0.763117128635193,-0.385238160169999,-0.459494764324036,-0.673521333647745,-0.296023886577369,-0.234433844152516,-0.42512673587825,-0.695637046420986,-0.805732505379063,-0.525292050084869,-0.353263860484259,-0.2620328745129,-0.673913355780576,-0.662808213981006,-0.0820647696279432,-0.495701879413658,-0.303566338512995,-0.762854034717579,-0.456172617831799,-0.267653372805357,-0.447580918383079,-0.0112723003998495,-0.166419225547129,-0.509987432108494,1,-0.317245341024318,-0.525550605349919,-0.710676847006039,-0.271261897919105,-0.300521125803061,-0.367192828543096,-0.480513487164407,-0.435067530614963,-0.782620487229863,-0.159590221191341,-0.617257766365645
"Ps",-0.682555963146324,-0.489533598703348,-0.354277208126441,-0.511299559244734,-0.89175067899057,-0.690472039332559,-0.668284923106356,-0.30294287495546,-0.888523316638639,-0.910775425424697,-0.336252465103456,-0.527612741023037,-0.482873233899243,-0.0743939431201536,-0.827116449855534,-0.558547767660494,-0.31208160837997,-0.821994936526786,-0.857754590117597,-0.456329792457737,-0.634405803133794,-0.442781757138612,-0.135462256270851,-0.421256952330561,-0.563370615182564,-0.839029867843555,-0.869404103334866,-0.317245341024318,1,-0.604476130791198,-0.285025068698982,-0.327478999719411,-0.327331606986537,-0.818954589247794,-0.570549540685473,-0.475276106880607,-0.576648399588398,-0.288160747597233,-0.651191063405074
"Pw",-0.844184664221893,-0.605757436702586,-0.477938458351127,-0.834968687416708,-0.792892108989594,-0.540491312382972,-0.649937790435304,-0.499809192025924,-0.141034282190851,-0.586564481164622,-0.138609892112218,-0.813740720237724,-0.415770344429801,-0.164178882439727,-0.52873906761183,-0.81128488870044,-0.28828513756791,-0.526582755624122,-0.831602115542365,-0.244799002831727,-0.838052092391044,-0.744595144425147,-0.540343204938184,-0.702665519535601,-0.842102768885247,-0.67213815216362,-0.862045409301457,-0.525550605349919,-0.604476130791198,1,-0.792906586551234,-0.547802413074944,-0.588983012412164,-0.753162839481981,-0.788924363004643,-0.855169848446369,-0.877486894286761,-0.360506327516092,-0.869329801152517
"Py",-0.802583059423979,-0.839859787944288,-0.638548266054753,-0.869140819711354,-0.708824540743534,-0.627855869210509,-0.799321955062174,-0.822983156764332,-0.478484095381411,-0.629613025508797,-0.809636382620846,-0.87746772345915,-0.743217323305058,-0.114963415959762,-0.427041638068677,-0.852512582125914,-0.832582849508419,-0.425315314367966,-0.763158857546402,-0.609517470827287,-0.846213194932228,-0.566376000959069,-0.436328592715571,-0.591089155405687,-0.847580774887671,-0.509366390663599,-0.785279663329463,-0.710676847006039,-0.285025068698982,-0.792906586551234,1,-0.0362119963640974,-0.421061906341487,-0.506950216775968,-0.698673623475657,-0.852048432416279,-0.869245434348771,-0.784218434231072,-0.871326581922395
"Qb",-0.637703103532032,-0.430577343316983,-0.304614993166606,-0.453051703369866,-0.907085768918281,-0.828997115963904,-0.617498878654908,-0.258662546499682,-0.918558653543692,-0.942820043303739,-0.288504210412878,-0.468802269907833,-0.424110613908051,-0.0547944189510424,-0.872786048177569,-0.50132196064142,-0.310443020004432,-0.86650693031805,-0.855699582688679,-0.399597265165676,-0.579282538300412,-0.309965209939033,-0.907631482942449,-0.852621592805256,-0.506510973144226,-0.855131568824353,-0.720010881741025,-0.271261897919105,-0.327478999719411,-0.547802413074944,-0.0362119963640974,1,-0.702146887503563,-0.716089443372189,-0.283809514014571,-0.418391171611119,-0.51910917443305,-0.245572510024801,-0.598180032711511
"Qc",-0.67508368708458,-0.470155187163496,-0.336535185478594,-0.492909371906285,-0.917611362836984,-0.574757245576895,-0.657140720983107,-0.286776412686005,-0.836242010007091,-0.946918757149362,-0.319088043332945,-0.509274728566415,-0.463435876035905,-0.107118689003273,-0.878458591919332,-0.499738479642008,-0.34273505188616,-0.872660122004214,-0.874087991999685,-0.437401081751728,-0.620290138091075,-0.393359196918683,-0.474664530723277,-0.740800670834251,-0.547003123516498,-0.868346753170956,-0.885352640361769,-0.300521125803061,-0.327331606986537,-0.588983012412164,-0.421061906341487,-0.702146887503563,1,-0.834124998673048,-0.66605630452704,-0.456780854038223,-0.560134024560676,-0.272522513153577,-0.638545393918118
