fid,id,ZONE,BGC,BGC_analysis,xcoord,ycoord,elevation_1
461,330,CWH,CWHxm1,CWHxm1,-124.1906016,49.74527395,51
466,344,CWH,CWHxm1,CWHxm1,-125.0561171,50.07034007,65
357,357,CWH,CWHxm2,CWHxm2,-125.0361409,50.25909481,96
361,353,CWH,CWHxm2,CWHxm2,-125.1450699,50.26173761,92
362,355,CWH,CWHxm2,CWHxm2,-125.1287062,50.30879698,346
363,358,CWH,CWHxm2,CWHxm2,-125.1971035,50.29862899,176
379,354,CWH,CWHxm2,CWHxm2,-125.1025985,50.15976002,26
380,356,CWH,CWHxm2,CWHxm2,-125.069055,50.21187957,118
220,363,ESSF,ESSFmw,ESSFmw,-124.4109739,51.01817386,1438
221,362,ESSF,ESSFmw,ESSFmw,-124.3476228,51.09845716,1277
236,359,ESSF,ESSFmw,ESSFmw,-125.1501244,51.22858404,1290
300,361,ESSF,ESSFmw,ESSFmw,-124.1443118,50.96985254,1488
301,360,ESSF,ESSFmw,ESSFmw,-124.0311927,50.92359743,1481
312,364,ESSF,ESSFmw,ESSFmw,-124.2968508,51.01015829,1600
313,365,ESSF,ESSFmw,ESSFmw,-124.211641,51.00674423,1367
284,416,MH,MHmm1,MHmm1_lo,-124.9258139,50.42151257,867
244,368,MH,MHmm1,MHmm1_lo,-124.165971,50.39764538,928
356,406,MH,MHmm1,MHmm1_lo,-123.5557385,49.46440972,931
282,398,MH,MHmm1,MHmm1_lo,-124.7839847,50.54180411,948
263,401,MH,MHmm1,MHmm1_lo,-124.1210214,49.94257088,972
258,392,MH,MHmm1,MHmm1_lo,-124.1826603,49.87957563,975
429,382,MH,MHmm1,MHmm1_lo,-124.9346692,50.34340931,992
273,400,MH,MHmm1,MHmm1_lo,-124.4418428,50.53729579,993
430,396,MH,MHmm1,MHmm1_lo,-124.8632335,50.3542961,1014
251,379,MH,MHmm1,MHmm1_lo,-124.1005624,50.36479775,1068
449,407,MH,MHmm1,MHmm1_lo,-124.4464119,50.1485983,1078
266,408,MH,MHmm1,MHmm1_lo,-123.5762767,49.82326993,1083
262,399,MH,MHmm1,MHmm1_lo,-124.2890935,50.2478723,1084
446,404,MH,MHmm1,MHmm1_lo,-123.4864884,49.61559168,1105
328,374,MH,MHmm1,MHmm1_lo,-125.0502264,50.64227112,1116
267,410,MH,MHmm1,MHmm1_lo,-124.2045854,50.48673647,1134
280,391,MH,MHmm1,MHmm1_lo,-124.5649868,50.48537953,1135
271,414,MH,MHmm1,MHmm1_lo,-124.1632216,50.26016385,1141
268,411,MH,MHmm1,MHmm1_lo,-123.7208232,49.69416538,1150
248,376,MH,MHmm1,MHmm1_hi,-123.422754,49.72210571,1153
276,375,MH,MHmm1,MHmm1_hi,-124.8408214,50.42220213,1157
255,386,MH,MHmm1,MHmm1_hi,-123.8716482,50.12269352,1168
252,380,MH,MHmm1,MHmm1_hi,-124.2671005,50.11917774,1180
257,390,MH,MHmm1,MHmm1_hi,-124.3875545,50.41723444,1194
245,370,MH,MHmm1,MHmm1_hi,-123.7735992,49.97467266,1200
281,393,MH,MHmm1,MHmm1_hi,-124.7474317,50.60603372,1205
249,377,MH,MHmm1,MHmm1_hi,-124.2045972,50.03625855,1208
277,383,MH,MHmm1,MHmm1_hi,-124.7323576,50.44082116,1218
272,417,MH,MHmm1,MHmm1_hi,-123.6535198,49.91740548,1221
261,397,MH,MHmm1,MHmm1_hi,-123.3661422,49.62932375,1225
265,405,MH,MHmm1,MHmm1_hi,-124.1741191,49.98014151,1243
260,395,MH,MHmm1,MHmm1_hi,-123.9993489,50.13790773,1246
269,412,MH,MHmm1,MHmm1_hi,-124.2496387,50.41040255,1250
270,413,MH,MHmm1,MHmm1_hi,-123.3246672,49.75303162,1261
424,369,MH,MHmm1,MHmm1_hi,-123.5621992,49.63232392,1279
448,403,MH,MHmm1,MHmm1_hi,-124.6273394,50.31100986,1295
447,381,MH,MHmm1,MHmm1_hi,-124.52533,50.21562672,1297
250,378,MH,MHmm1,MHmm1_hi,-124.0322237,50.08331484,1320
278,387,MH,MHmm1,MHmm1_hi,-124.9248927,50.49240281,1329
259,394,MH,MHmm1,MHmm1_hi,-123.7825184,50.22894887,1336
279,388,MH,MHmm1,MHmm1_hi,-124.5745108,50.64522123,1342
256,389,MH,MHmm1,MHmm1_hi,-124.0884106,50.23909549,1352
264,402,MH,MHmm1,MHmm1_hi,-123.7033016,50.05493145,1360
283,415,MH,MHmm1,MHmm1_hi,-124.6774235,50.53053892,1374
275,373,MH,MHmm1,MHmm1_hi,-124.795771,50.38243641,1383
253,384,MH,MHmm1,MHmm1_hi,-123.6887577,49.77986483,1410
247,372,MH,MHmm1,MHmm1_hi,-123.6722611,50.09918248,1452
254,385,MH,MHmm1,MHmm1_hi,-123.8953314,49.93314835,1454
450,409,MH,MHmm1,MHmm1_hi,-124.484469,50.2813337,1456
246,371,MH,MHmm1,MHmm1_hi,-123.7911394,49.75716589,1457
294,457,MH,MHmm2,MHmm2_lo,-124.0422683,50.51594198,888
